polo,vagas,INSCRITOS,CAN_X_VAG
MURUTINGA DO SUL,10.0,1.0,0.1
OUROESTE,10.0,1.0,0.1
ITAJU,10.0,2.0,0.2
HERCULANDIA,10.0,2.0,0.2
FLORA RICA,10.0,2.0,0.2
PRESIDENTE BERNARDES,10.0,2.0,0.2
IPEÚNA,10.0,2.0,0.2
SANTO ANTÔNIO DA ALEGRIA,10.0,3.0,0.3
PIACATU,10.0,3.0,0.3
CORDEIRÓPOLIS,10.0,4.0,0.4
TAQUARITINGA,20.0,8.0,0.4
FLÓRIDA PAULISTA,10.0,4.0,0.4
PORANGABA,10.0,4.0,0.4
TARABAI,10.0,5.0,0.5
PEREIRAS,10.0,5.0,0.5
SÃO MIGUEL ARCANJO,10.0,5.0,0.5
SEVERÍNIA,10.0,5.0,0.5
ELIAS FAUSTO,10.0,5.0,0.5
IPORANGA,10.0,5.0,0.5
URUPÊS,10.0,5.0,0.5
CAPIVARI,20.0,12.0,0.6
BRAÚNA,10.0,6.0,0.6
SÃO JOSÉ DO BARREIRO,10.0,6.0,0.6
SÃO PAULO - PAZ,35.0,21.0,0.6
ITAJOBI,10.0,6.0,0.6
AREIAS,10.0,6.0,0.6
TORRINHA,10.0,6.0,0.6
MOTUCA,10.0,6.0,0.6
SÃO PAULO - TRÊS PONTES,35.0,22.0,0.6285714285714286
ITUVERAVA,15.0,10.0,0.6666666666666666
CAJOBI,10.0,7.0,0.7
PACAEMBU,10.0,7.0,0.7
ARANDU,10.0,7.0,0.7
LUCÉLIA,10.0,7.0,0.7
CHARQUEADA,10.0,7.0,0.7
LARANJAL PAULISTA,10.0,7.0,0.7
ITÁPOLIS,15.0,11.0,0.7333333333333333
SÃO PAULO - ALTO ALEGRE,35.0,26.0,0.7428571428571429
CAFELÂNDIA,10.0,8.0,0.8
GUARACI,10.0,8.0,0.8
SARAPUÍ,10.0,8.0,0.8
NARANDIBA,10.0,8.0,0.8
BOCAINA,10.0,8.0,0.8
SANTA CRUZ DA ESPERANCA,10.0,8.0,0.8
SÃO PAULO - CANTOS DO AMANHECER,35.0,29.0,0.8285714285714286
SALTO,35.0,30.0,0.8571428571428571
ITU,40.0,36.0,0.9
ITAÍ,10.0,9.0,0.9
SALTINHO,10.0,9.0,0.9
IGARAÇU DO TIETÊ,10.0,9.0,0.9
CHAVANTES,10.0,9.0,0.9
PIRACAIA,10.0,9.0,0.9
GUAPIAÇU,10.0,9.0,0.9
SÃO PAULO - UIRAPURU,35.0,32.0,0.9142857142857143
SÃO PAULO - VILA ATLÂNTICA,35.0,32.0,0.9142857142857143
JABOTICABAL,25.0,23.0,0.92
SANTA CRUZ DO RIO PARDO,15.0,14.0,0.9333333333333333
PONTAL,15.0,14.0,0.9333333333333333
SÃO PAULO - MENINOS,35.0,34.0,0.9714285714285714
CAIEIRAS,35.0,34.0,0.9714285714285714
RIOLÂNDIA,10.0,10.0,1.0
SÃO PAULO - ROSA DA CHINA,35.0,35.0,1.0
TAQUARITUBA,10.0,10.0,1.0
CONCHAL,10.0,10.0,1.0
MARACAÍ,10.0,10.0,1.0
GUAREÍ,10.0,10.0,1.0
GUARIBA,10.0,10.0,1.0
AREALVA,10.0,10.0,1.0
SÃO LOURENÇO DA SERRA,10.0,10.0,1.0
PARAIBUNA,10.0,10.0,1.0
SÃO PAULO - VILA DO SOL,35.0,36.0,1.0285714285714285
SAO PEDRO DO TURVO,10.0,11.0,1.1
DOURADO,10.0,11.0,1.1
BOITUVA,20.0,22.0,1.1
CRISTAIS PAULISTA,10.0,11.0,1.1
ITARIRI,10.0,11.0,1.1
TAQUARAL,10.0,11.0,1.1
SÃO SIMÃO,10.0,11.0,1.1
ITAPUÍ,10.0,11.0,1.1
IBIRÁ,10.0,11.0,1.1
SÃO PAULO - FEITIÇO DA VILA,35.0,39.0,1.1142857142857143
LINS,25.0,28.0,1.12
CATANDUVA,35.0,41.0,1.1714285714285715
FRANCISCO MORATO,40.0,47.0,1.175
FARTURA,10.0,12.0,1.2
IACANGA,10.0,12.0,1.2
IBITINGA,20.0,24.0,1.2
OURINHOS,35.0,42.0,1.2
PAULO DE FARIA,10.0,12.0,1.2
PARANAPANEMA,10.0,12.0,1.2
CESÁRIO LANGE,10.0,12.0,1.2
IPERÓ,10.0,12.0,1.2
JAMBEIRO,10.0,12.0,1.2
SÃO SEBASTIÃO,30.0,37.0,1.2333333333333334
INDAIATUBA,50.0,62.0,1.24
SUMARÉ,50.0,62.0,1.24
FRANCO DA ROCHA,40.0,50.0,1.25
SÃO PAULO - PQ. ANHANGUERA,35.0,44.0,1.2571428571428571
CAMPOS DO JORDÃO,15.0,19.0,1.2666666666666666
SÃO PAULO - NAVEGANTES,35.0,45.0,1.2857142857142858
SÃO PAULO - TRÊS LAGOS,35.0,45.0,1.2857142857142858
REDENÇÃO DA SERRA,10.0,13.0,1.3
ALVINLANDIA,10.0,13.0,1.3
ANHEMBI,10.0,13.0,1.3
HORTOLÂNDIA,50.0,65.0,1.3
SANTA GERTRUDES,10.0,13.0,1.3
CRAVINHOS,10.0,13.0,1.3
CUNHA,10.0,13.0,1.3
MINEIROS DO TIETÊ,10.0,13.0,1.3
GAVIÃO PEIXOTO,10.0,13.0,1.3
SÃO PAULO - SÃO RAFAEL,35.0,46.0,1.3142857142857143
SANTA BÁRBARA D'OESTE,40.0,53.0,1.325
TIETÊ,15.0,20.0,1.3333333333333333
TUPÃ,20.0,27.0,1.35
IBIÚNA,25.0,34.0,1.36
JANDIRA,35.0,48.0,1.3714285714285714
TAPIRATIBA,10.0,14.0,1.4
CABREÚVA,15.0,21.0,1.4
REGINOPOLIS,10.0,14.0,1.4
MACATUBA,10.0,14.0,1.4
VERA CRUZ,10.0,14.0,1.4
SÃO PAULO - PARQUE SÃO CARLOS,35.0,49.0,1.4
QUELUZ,10.0,14.0,1.4
ELDORADO,10.0,14.0,1.4
RIO CLARO,50.0,71.0,1.42
MOCOCA,25.0,36.0,1.44
VOTUPORANGA,35.0,51.0,1.457142857142857
SÃO PAULO - LAJEADO,35.0,51.0,1.457142857142857
ILHA COMPRIDA,10.0,15.0,1.5
ITABERÁ,10.0,15.0,1.5
CACONDE,10.0,15.0,1.5
SUD MENNUCCI,10.0,15.0,1.5
BADY BASSITT,10.0,15.0,1.5
BOM JESUS DOS PERDÕES,10.0,15.0,1.5
BASTOS,10.0,15.0,1.5
MATÃO,30.0,45.0,1.5
ITAPETININGA,40.0,61.0,1.525
GARÇA,15.0,23.0,1.5333333333333334
SÃO PAULO - ÁGUA AZUL,35.0,54.0,1.542857142857143
SÃO PAULO - PERA MARMELO,35.0,54.0,1.542857142857143
MONTE MOR,20.0,31.0,1.55
BARRETOS,35.0,55.0,1.5714285714285714
TARUMÃ,10.0,16.0,1.6
NOVA GRANADA,10.0,16.0,1.6
TAMBAÚ,10.0,16.0,1.6
MONTE ALTO,15.0,24.0,1.6
ARTUR NOGUEIRA,20.0,32.0,1.6
SANDOVALINA,10.0,16.0,1.6
RIO DAS PEDRAS,10.0,16.0,1.6
BARRINHA,10.0,16.0,1.6
LAGOINHA,10.0,16.0,1.6
CAÇAPAVA,35.0,56.0,1.6
ESPÍRITO SANTO DO PINHAL,15.0,24.0,1.6
PERUÍBE,25.0,41.0,1.64
SÃO PAULO - PARQUE VEREDAS,35.0,58.0,1.6571428571428573
NOVO HORIZONTE,15.0,25.0,1.6666666666666667
AMERICANA,50.0,84.0,1.68
SÃO PAULO - AZUL DA COR DO MAR,35.0,59.0,1.6857142857142857
ALTINÓPOLIS,10.0,17.0,1.7
AMÉRICO BRASILIENSE,10.0,17.0,1.7
PIRAJUÍ,10.0,17.0,1.7
