,polo,vagas,endereco,lat,lng,distance
0,Adamantina,10 ,"Alameda dos Expedicionários, 864 - Centro CEP: 17800-000",-21.684933,-51.0785944,584888.0
1,Aguaí,10 ,"Av. Olinda Silveira Cruz Braga, 200 - Parque Interlagos CEP: 13860-000",-22.0590985,-46.9825305,189023.0
2,Agudos,10 ,"R. João Pessoa, 2 - Professor Simões CEP: 17120-000",-22.4789485,-48.9963026,310345.0
3,Altinópolis,10 ,"R. Alagoas, 248 - Vila Maria CEP: 14350-000",-21.0195562,-47.374682,327713.0
4,Alumínio,10 ,"Av. Senador José Ermírio de Moraes, 798 - Vila Industrial CEP: 18125-000",-23.5329088,-47.2550183,78107.0
5,Alvinlandia,10 ,"R. Vereador Antonio Teruel, 670 - Centro CEP: 17430-000",-22.4404969,-49.76448870000001,413612.0
6,Americana,50 ,"R. das Hortências, 1555 - Cidade Jardim CEP: 13467-190",-22.766372,-47.3392078,125688.0
7,Américo Brasiliense,10 ,"Av. Nove de Julho, 192 - Centro CEP: 14820-000",-21.7272002,-48.1053016,282434.0
8,Amparo,25 ,"R. Gustavo de Souza, 108 - Ribeirão Amparo CEP: 13904-903",-22.7100967,-46.7735187,123639.0
9,Andradina,20 ,"R. Humberto de Campos, 229 - Centro CEP: 16901-012",-20.8913322,-51.3819651,626368.0
10,Anhembi,10 ,"R. Prefeito Spedito Scalise , S/N - Morada do Sol CEP: 18620-000",-22.7611033,-48.19955909999999,229791.0
11,Aparecida,10 ,"Praça Pe. Victor Coelho de Almeida, 100 - Jardim São Paulo CEP: 12570-000",-22.856598,-45.235251,173210.0
12,Apiaí,10 ,"R. Amarildo Gorgonha da Silva, 112 - Centro CEP: 18320-000",-24.4471702,-48.8397403,331138.0
13,Araçariguama,10 ,"R. Amelia da Costa e Silva, 66 - Jardim Bela Vista CEP: 18147-000",-23.4272639,-47.0734335,52767.0
14,Araçatuba,40 ,"R. Conselheiro Crispiniano, 550 - Jardim Alvorada CEP: 16016-090",-21.2338251,-50.42514749999999,517475.0
15,Araçoiaba da Serra,10 ,"R. Professor Toledo, 756 - Centro CEP: 18190-000",-23.5046818,-47.622299,118957.0
16,Arandu,10 ,"Av. José Serezin, 800 - Jardim Maria Sodré CEP: 18710-000",-23.1385562,-49.05905,277639.0
17,Araraquara,50 ,"Av. Romulo Lupo, 775 - Jardim Universal CEP: 14801-700",-21.792518,-48.2033091,275505.0
18,Araras,35 ,"Av. Nestlé, 58 - Vila Michelin CEP: 13601-005",-22.3638961,-47.379047,164827.0
19,Arealva,10 ,"Av. Prefeito Adelino Mendonça, S/N - Centro CEP: 17160-000",-22.0264442,-48.8940844,368668.0
20,Areias,10 ,"Av. Siqueira Campos, 501 - Centro CEP: 12820-000",-22.5811244,-44.6922754,249638.0
21,Artur Nogueira,20 ,"R. XV de Novembro, 1400 - Jardim Planalto CEP: 13160-000",-22.5627065,-47.16278210000001,147289.0
22,Arujá,30 ,"R. Mamede Barbosa, 105 - Centro CEP: 07400 - 820",-23.3860293,-46.3318498,45160.0
23,Assis,35 ,"Av. Getúlio Vargas, 1200 - Vila Nova Santana CEP: 19807-130",-22.6425878,-50.42143420000001,432506.0
24,Atibaia,35 ,"Av. Doutor Joviano Alvim, 112 - Alvinópolis CEP: 12942-613",-23.11609,-46.5625568,68650.0
25,Avaré,30 ,"R. Doutor Antônio Ferreira Inocêncio, 394 - Vila Martins II CEP: 18701-510",-23.1099082,-48.9163922,267295.0
26,Bady Bassitt,10 ,"R. Fernando Correia Pires, 500 - Colina Sul II CEP: 15115-000",-20.924912,-49.4539129,449418.0
27,Bananal,10 ,"R. Leon Gilson, 33 - Centro CEP: 12850-000",-22.6816432,-44.322416,329037.0
28,Bariri,10 ,"R. Regina Pizza Beltrame, 126 - Jardim Panorama CEP: 17250-000",-22.0653052,-48.7378981,319608.0
29,Barra Bonita,10 ,"R. Carlos Tozelli, 07 - COHAB Coronel José Victorino de França CEP: 17340-000",-22.4728113,-48.5787728,291687.0
30,Barretos,35 ,"R. 21 de Abril, 240 - Derby Club CEP: 14787-240",-20.53402,-48.572938,424770.0
31,Barrinha,10 ,"R. Francisco Osaki, 90 - Conj. Albertina Fossalussa CEP: 14860-000",-21.1789779,-48.1519181,350624.0
32,Barueri,50 ,"Av. Andrômeda, 500 - Alphaville CEP: 06473-000",-23.4858161,-46.8608381,28555.0
33,Bastos,10 ,"R. Almirante Alexandrino, 622 - Centro CEP: 17690-000",-21.9238006,-50.7331241,542401.0
34,Bauru,50 ,"Av. Duque de Caxias, 16 - Higienópolis CEP: 17011-020",-22.3265484,-49.0606012,324472.0
35,Bernardino de Campos,10 ,"Praça da Bandeira, 270 - Centro CEP: 18960-000",-23.5502181,-46.6387924,10654.0
36,Bertioga,20 ,"Av. Tomé de Souza, 11833 - Indaiá CEP: 11250-000",-23.8119624,-46.0592207,112549.0
37,Biritiba Mirim,10 ,"R. Maria Gema Melo de Oliveira, 250 - Jardim Yoneda CEP: 08940-000",-23.5688396,-46.0361622,85216.0
38,Boa Esperança do Sul,10 ,"R. Manoel de Marins, 585 - Centro CEP: 14930-000",-21.9902574,-48.383901,298601.0
39,Bocaina,10 ,"R. 7 de Setembro, 178 - Centro CEP: 17240-000",-22.1388967,-48.51890479999999,295505.0
40,Boituva,20 ,"R. São Marcos, 455 - Parque Nossa Senhora das Graças CEP: 18550-000",-23.276894,-47.6629237,117018.0
41,Bom Jesus dos Perdões,10 ,"Av. Eliseu Correa Dias, 325 - Jardim Belo Horizonte CEP: 12955-000",-23.1299445,-46.4706221,82698.0
42,Borborema,10 ,"R. José Theodoro Puzzi, 515 - Vila Mariana CEP: 14955-000",-23.589702,-46.6346381,10446.0
43,Botucatu,35 ,"Praça Dom Luiz Maria de Sant'Ana, 215 - Centro CEP: 18600-311",-22.8863137,-48.4458873,233196.0
44,Bragança Paulista,40 ,"R. das Indústrias, 130 - Uberaba CEP: 12926-674",-22.9226007,-46.5458992,96785.0
45,Braúna,10 ,"Av. Barão do Rio Branco, 465 - Centro CEP: 16290-000",-25.4339095,-49.2669344,401447.0
46,Brodowski,10 ,"R. Carlos Chagas, 590 - Nosa Senhora das Graças CEP: 14340-000",-20.9797045,-47.6467302,335776.0
47,Cabreúva,15 ,"Via das Palmas, 101 - Pinhal CEP: 13315-000",-23.2592916,-47.1049136,76694.0
48,Caçapava,35 ,"R. André Santos de Oliveira Lima, 15 - Vila André Martins CEP: 12280-096",-23.0873366,-45.7084233,119540.0
49,Cachoeira Paulista,10 ,"R. Doutor Bernardino de Campos, 130 - Centro CEP: 12630-000",-22.6637575,-45.0080864,206177.0
50,Caconde,10 ,"Praça Coronel Gustavo Ribeiro, 92 - Caconde CEP: 13770-000",-21.528779,-46.6439049,283864.0
51,Cafelândia,10 ,"Pátio da Estação - 01, S/N - Cafelândia CEP: 16500-000",-21.8031143,-49.6099581,409898.0
52,Caieiras,35 ,"Praça Cláudio Manoel da Costa, S/N - Laranjeiras CEP: 07739-075",-23.3999211,-46.7032095,28470.0
53,Cajamar,25 ,"R. Pedro Domingues, S/N - Centro CEP: 07750-830",-23.356109,-46.8788111,41398.0
54,Cajati,10 ,"R. Roma, 408 - Vila Antunes CEP: 11950-000",-24.7353477,-48.1114398,227457.0
55,Cajobi,10 ,"R. Olga Bernardes Zanterlini, 320 - Centro CEP: 15410-000",-20.8766287,-48.8081539,420162.0
56,Campinas,100 ,"R. Doutor Emílio Ribas, 880 - Cambuí CEP: 13025-141",-22.8966905,-47.0508716,91479.0
57,Campo Limpo Paulista,30 ,"R. Maria do Carmo, 11 - Vila Cardoso CEP: 13230-450",-23.2083195,-46.7850743,56266.0
58,Campos do Jordão,15 ,"R. Miguel Pereira, 235 - Abernéssia CEP: 12460-000",-22.7400896,-45.58967879999999,185351.0
59,Capão Bonito,15 ,"R. Bernardino de Campos, 477 - Centro CEP: 18300-040",-24.0044449,-48.3497336,227085.0
60,Capela do Alto,10 ,"Av. Professor Castorino de Almeida, 300 - Centro CEP: 18157-000",,,
61,Capivari,20 ,"R. Antônio Ribeiro de Godoy, S/N - Capivari CEP: 13360-000",-23.0091644,-47.522149,135389.0
62,Caraguatatuba,35 ,"R. João Marcelo, 302 - Estrela D´alva CEP: 11660-600",-23.6204802,-45.4201322,175742.0
63,Carapicuíba,50 ,"Av. Ernestina Vieira, 149 - Vila Dirce CEP: 06382 - 260",-23.5530454,-46.8375451,27644.0
64,Casa Branca,10 ,"Av. Renato Pistelli, 810 - Centro CEP: 13700-000",-21.7737523,-47.0698208,222115.0
65,Catanduva,35 ,"Av. Daniel Dalto, S/N - Expansão 1 CEP: 15811-044",-21.1636257,-48.9825598,381713.0
66,Cerqueira César,10 ,"Rod. Donato Francisco Sassi, Km 5 - Macucão CEP: 18760-000",-23.092514,-49.166234,292090.0
67,Cerquilho,15 ,"Av. Corradi II, 380 - Centro CEP: 18520-000",-23.1652366,-47.7470974,143779.0
68,Cesário Lange,10 ,"R. Camargo Barros, 1210 - Centro CEP: 18285-000",-23.2259494,-47.9672947,148572.0
69,Charqueada,10 ,"R. Querubim Ferreira de Almeida, 251 - Jardim Gelsomina CEP: 13515-000",-22.5185625,-47.7440315,180785.0
70,Chavantes,10 ,"R. Maestro Carlos Gomes, 399 - Centro CEP: 18970-000",-23.0392521,-49.7065902,369276.0
71,Colina,10 ,"Praça Lamounier de Andrade, 101 - Centro CEP: 14770-000",-20.7150597,-48.5463759,404916.0
72,Conchal,10 ,"R. Álvaro Ribeiro, 287 - Centro CEP: 13835-000",-22.3315384,-47.1730496,168332.0
73,Conchas,10 ,"R. Bahia, 78 - Centro CEP: 18570-000",-23.0136559,-48.0087391,174661.0
