POLO; VAGAS; ENDERECO
ADAMANTINA;10;ALAMEDA DOS EXPEDICIONÁRIOS, 864 - CENTRO
AGUAÍ;10;AV. OLINDA SILVEIRA CRUZ BRAGA, 200 - PARQUE INTERLAGOS
AGUDOS;10;R. JOÃO PESSOA, 2 - PROFESSOR SIMÕES
ALTINÓPOLIS;10;R. ALAGOAS, 248 - VILA MARIA
ALUMÍNIO;10;AV. SENADOR JOSÉ ERMÍRIO DE MORAES, 798 - VILA INDUSTRIAL
ALVINLANDIA;10;R. VEREADOR ANTONIO TERUEL, 670 - CENTRO
AMERICANA;50;R. DAS HORTÊNCIAS, 1555 - CIDADE JARDIM
AMÉRICO BRASILIENSE;10;AV. NOVE DE JULHO, 192 - CENTRO
AMPARO;25;R. GUSTAVO DE SOUZA, 108 - RIBEIRÃO AMPARO
ANDRADINA;20;R. HUMBERTO DE CAMPOS, 229 - CENTRO
ANHEMBI;10;R. PREFEITO SPEDITO SCALISE , S/N - MORADA DO SOL
APARECIDA;10;PRAÇA PE. VICTOR COELHO DE ALMEIDA, 100 - JARDIM SÃO PAULO
APIAÍ;10;R. AMARILDO GORGONHA DA SILVA, 112 - CENTRO
ARAÇARIGUAMA;10;R. AMELIA DA COSTA E SILVA, 66 - JARDIM BELA VISTA
ARAÇATUBA;40;R. CONSELHEIRO CRISPINIANO, 550 - JARDIM ALVORADA
ARAÇOIABA DA SERRA;10;R. PROFESSOR TOLEDO, 756 - CENTRO
ARANDU;10;AV. JOSÉ SEREZIN, 800 - JARDIM MARIA SODRÉ
ARARAQUARA;50;AV. ROMULO LUPO, 775 - JARDIM UNIVERSAL
ARARAS;35;AV. NESTLÉ, 58 - VILA MICHELIN
AREALVA;10;AV. PREFEITO ADELINO MENDONÇA, S/N - CENTRO
AREIAS;10;AV. SIQUEIRA CAMPOS, 501 - CENTRO
ARTUR NOGUEIRA;20;R. XV DE NOVEMBRO, 1400 - JARDIM PLANALTO
ARUJÁ;30;R. MAMEDE BARBOSA, 105 - CENTRO
ASSIS;35;AV. GETÚLIO VARGAS, 1200 - VILA NOVA SANTANA
ATIBAIA;35;AV. DOUTOR JOVIANO ALVIM, 112 - ALVINÓPOLIS
AVARÉ;30;R. DOUTOR ANTÔNIO FERREIRA INOCÊNCIO, 394 - VILA MARTINS II
BADY BASSITT;10;R. FERNANDO CORREIA PIRES, 500 - COLINA SUL II
BANANAL;10;R. LEON GILSON, 33 - CENTRO
BARIRI;10;R. REGINA PIZZA BELTRAME, 126 - JARDIM PANORAMA
BARRA BONITA;10;R. CARLOS TOZELLI, 07 - COHAB CORONEL JOSÉ VICTORINO DE FRANÇA
BARRETOS;35;R. 21 DE ABRIL, 240 - DERBY CLUB
BARRINHA;10;R. FRANCISCO OSAKI, 90 - CONJ. ALBERTINA FOSSALUSSA
BARUERI;50;AV. ANDRÔMEDA, 500 - ALPHAVILLE
BASTOS;10;R. ALMIRANTE ALEXANDRINO, 622 - CENTRO
BAURU;50;AV. DUQUE DE CAXIAS, 16 - HIGIENÓPOLIS
BERNARDINO DE CAMPOS;10;PRAÇA DA BANDEIRA, 270 - CENTRO
BERTIOGA;20;AV. TOMÉ DE SOUZA, 11833 - INDAIÁ
BIRITIBA MIRIM;10;R. MARIA GEMA MELO DE OLIVEIRA, 250 - JARDIM YONEDA
BOA ESPERANÇA DO SUL;10;R. MANOEL DE MARINS, 585 - CENTRO
BOCAINA;10;R. 7 DE SETEMBRO, 178 - CENTRO
BOITUVA;20;R. SÃO MARCOS, 455 - PARQUE NOSSA SENHORA DAS GRAÇAS
BOM JESUS DOS PERDÕES;10;AV. ELISEU CORREA DIAS, 325 - JARDIM BELO HORIZONTE
BORBOREMA;10;R. JOSÉ THEODORO PUZZI, 515 - VILA MARIANA
BOTUCATU;35;PRAÇA DOM LUIZ MARIA DE SANT'ANA, 215 - CENTRO
BRAGANÇA PAULISTA;40;R. DAS INDÚSTRIAS, 130 - UBERABA
BRAÚNA;10;AV. BARÃO DO RIO BRANCO, 465 - CENTRO
BRODOWSKI;10;R. CARLOS CHAGAS, 590 - NOSA SENHORA DAS GRAÇAS
CABREÚVA;15;VIA DAS PALMAS, 101 - PINHAL
CAÇAPAVA;35;R. ANDRÉ SANTOS DE OLIVEIRA LIMA, 15 - VILA ANDRÉ MARTINS
CACHOEIRA PAULISTA;10;R. DOUTOR BERNARDINO DE CAMPOS, 130 - CENTRO
CACONDE;10;PRAÇA CORONEL GUSTAVO RIBEIRO, 92 - CACONDE
CAFELÂNDIA;10;PÁTIO DA ESTAÇÃO - 01, S/N - CAFELÂNDIA
CAIEIRAS;35;PRAÇA CLÁUDIO MANOEL DA COSTA, S/N - LARANJEIRAS
CAJAMAR;25;R. PEDRO DOMINGUES, S/N - CENTRO
CAJATI;10;R. ROMA, 408 - VILA ANTUNES
CAJOBI;10;R. OLGA BERNARDES ZANTERLINI, 320 - CENTRO
CAMPINAS;100;R. DOUTOR EMÍLIO RIBAS, 880 - CAMBUÍ
CAMPO LIMPO PAULISTA;30;R. MARIA DO CARMO, 11 - VILA CARDOSO
CAMPOS DO JORDÃO;15;R. MIGUEL PEREIRA, 235 - ABERNÉSSIA
CAPÃO BONITO;15;R. BERNARDINO DE CAMPOS, 477 - CENTRO
CAPELA DO ALTO;10;AV. PROFESSOR CASTORINO DE ALMEIDA, 300 - CENTRO
CAPIVARI;20;R. ANTÔNIO RIBEIRO DE GODOY, S/N - CAPIVARI
CARAGUATATUBA;35;R. JOÃO MARCELO, 302 - ESTRELA D´ALVA
CARAPICUÍBA;50;AV. ERNESTINA VIEIRA, 149 - VILA DIRCE
CASA BRANCA;10;AV. RENATO PISTELLI, 810 - CENTRO
CATANDUVA;35;AV. DANIEL DALTO, S/N - EXPANSÃO 1
CERQUEIRA CÉSAR;10;ROD. DONATO FRANCISCO SASSI, KM 5 - MACUCÃO
CERQUILHO;15;AV. CORRADI II, 380 - CENTRO
CESÁRIO LANGE;10;R. CAMARGO BARROS, 1210 - CENTRO
CHARQUEADA;10;R. QUERUBIM FERREIRA DE ALMEIDA, 251 - JARDIM GELSOMINA
CHAVANTES;10;R. MAESTRO CARLOS GOMES, 399 - CENTRO
COLINA;10;PRAÇA LAMOUNIER DE ANDRADE, 101 - CENTRO
CONCHAL;10;R. ÁLVARO RIBEIRO, 287 - CENTRO
CONCHAS;10;R. BAHIA, 78 - CENTRO
CORDEIRÓPOLIS;10;R. GALDINO DE SOUZA BARBOSA, 400 - JARDIM CORDEIRO
COSMÓPOLIS;25;AV. DA SAUDADE, 528 - VILA JOSÉ KALIL AUN
CRAVINHOS;10;R. HORÁCIO SABINO COIMBRA, 577 - JARDIM ALVORADA
CRISTAIS PAULISTA;10;AV. ANTÔNIO PRADO, 3240 - CENTRO
CRUZEIRO;30;R. DOUTOR JOSÉ RODRIGUES ALVES SOBRINHO, 191 - VILA SUELI
CUBATÃO;35;AV. DOUTOR FERNANDO COSTA, 1096 - COSTA
CUNHA;10;LADEIRA VINTE DE ABRIL, S/N - CENTRO
DIADEMA;50;R. LAURO MICHELS, 30 - CENTRO
DOIS CÓRREGOS;10;AV. VASCO DA GAMA, 164 - JARDIM ARCO
DOURADO;10;R. JOSÉ BUSTANI, 600 - JARDIM PAULISTA
DRACENA;15;AV. JOSÉ BONIFÁCIO, 267 - VILA
DUMONT;10;R. JOÃO NEGRI, 412 - JD ADELAIDE
ELDORADO;10;R. PADRE JOAQUIM GABRIEL, 161 - CENTRO
ELIAS FAUSTO;10;AV. OSVALDO MALUF, 250 - VILA ANCHIETA
EMBU DAS ARTES;50;R. ALBERTO GIOSA, 320 - JARDIM
ENGENHEIRO COELHO;10;R. ALEXANDRE BONIN, 403 - JARDIM DO SOL
ESPÍRITO SANTO DO PINHAL;15;PRAÇA IRMÃO ESTEVÃO VON HERKHNUIZEN, S/N - JARDIM DAS ROSAS
ESTIVA GERBI;10;R. JOSÉ RODRIGUES DOS SANTOS, 271 - SÃO JOSÉ II
FARTURA;10;R. SANTA MARIA, 60 - VILA NOSSA SENHORA DE FÁTIMA
FERNANDÓPOLIS;25;AV. LITÉRIO GRECCO, 300 - JARDIM SÃO FERNANDO
FLORA RICA;10;R. VERADOR RAIMUNDO ANTÔNIO DE ARAÚJO, 416 - CENTRO
FLÓRIDA PAULISTA;10;AV. DOS EXPEDICIONÁRIOS, 190 - CENTRO
FRANCA;50;AV. CHAMPAGNAT, 1808 - CENTRO
FRANCISCO MORATO;40;R. VIRGÍLIO MARTINS DE OLIVEIRA, 824 - VILA HELOÍSA
FRANCO DA ROCHA;40;R. CINCO DE MAIO, 97 - VILA MAGGI
GARÇA;15;R. PADRE PAULO DE TOLEDO LEITE, 411 - FERRARÓPOLIS
GAVIÃO PEIXOTO;10;ALAMEDA SEREZ, 495 - CENTRO
GUAÍRA;15;AV. 1A, 2000 - CONJUNTO HABITACIONAL PREFEITO JOSÉ PUGLIESI
GUAPIAÇU;10;R. ALFREDO DE SOUZA BARBEIRO, 280 - RIBEIRÃO CLARO
GUARA;10;R. JOÃO CARLOS FIGUEIREDO, 11 - CENTRO
GUARACI;10;PRAÇA OSCAR BAPTISTA DE CARVALHO, 657 - CENTRO
GUARARAPES;10;R. JOSÉ DALLA PRIA, 177 - JARDIM CONTINENTAL
GUARAREMA;10;R. DOUTOR ARMINDO, 567 - NOGUEIRA
GUARATINGUETÁ;35;PRAÇA CONDESSA DE FRONTIN, 76 - CENTRO
GUAREÍ;10;R. TIRADENTES, 100 - CENTRO
GUARIBA;10;R. RUI BARBOSA, 1244 - JARDIM PROGRESSO
GUARUJÁ;50;AV. ADRIANO DIAS DOS SANTOS, 611 - JARDIM BOA ESPERANÇA
GUARULHOS;50;AV. MONTEIRO LOBATO, 734 - MACEDO
HERCULANDIA;10;R. XV DE NOVEMBRO, 331 - CENTRO
HORTOLÂNDIA;50;R. CAPITÃO LOURIVAL MEY, 750 - JARDIM SANTANA
